period,cave,num,name,cat1,cat2.1,cat2.2,,path,allhex,HEX1,HEX2,HEX3,HEX4,HEX5,COLOR1,COLOR2,COLOR3,COLOR4,COLOR5,Murals images
First Tang,57,1,说法图,经变画 Buddhist Sutra Art,Buddhism,,1,"../public/1ct/1 说法图.jpeg',","#ba9a86,#7d7074,#493134,#cebcb2,#986755",#ba9a86,#7d7074,#493134,#cebcb2,#986755,,,,,,
First Tang,57,2,菩萨胸像,佛像画Buddhist painting,Politics/History,,1,"../public/1ct/2 菩萨胸像.jpeg',","#b5a095,#2e2631,#956d52,#716571,#583631",#b5a095,#2e2631,#956d52,#716571,#583631,,,,,,
First Tang,57,3,阿难,佛像画Buddhist painting,Buddhism,,2,"../public/1ct/3 阿难.jpeg',","#c1aa99,#1b151b,#754433,#907d7b,#4c363f",#c1aa99,#1b151b,#754433,#907d7b,#4c363f,,,,,,
First Tang,57,4,说法图,经变画 Buddhist Sutra Art,Buddhism,,2,"../public/1ct/4 说法图.jpeg',","#aa896e,#281d23,#6f706b,#68453e,#afa199",#aa896e,#281d23,#6f706b,#68453e,#afa199,,,,,,
First Tang,57,5,菩萨二身,佛像画Buddhist painting,Buddhism,,3,"../public/1ct/5 菩萨二身.jpeg',","#68575a,#7a3225,#372023,#908985,#916151",#68575a,#7a3225,#372023,#908985,#916151,,,,,,
First Tang,57,6,思惟菩萨,佛像画Buddhist painting,Buddhism,,4,"../public/1ct/6 思惟菩萨.jpeg',","#966a54,#7d7a74,#532c2c,#8b3d27,#b09e99",#966a54,#7d7a74,#532c2c,#8b3d27,#b09e99,,,,,,
First Tang,57,7,飞天,佛像画Buddhist painting,Buddhism,Feitian,5,"../public/1ct/7 飞天.jpeg',","#ad896b,#171114,#736e60,#51352d,#b4a091",#ad896b,#171114,#736e60,#51352d,#b4a091,,,,,,
First Tang,57,8,文殊菩萨,佛像画Buddhist painting,Buddhism,,6,"../public/1ct/8 文殊.jpeg',","#d6c5b5,#160f12,#837a62,#522a24,#bd9e83",#d6c5b5,#160f12,#837a62,#522a24,#bd9e83,,,,,,
First Tang,57,9,维摩诘,佛像画Buddhist painting,Buddhism,,7,"../public/1ct/9 维摩诘.jpeg',","#191318,#bfa99a,#4c2927,#916950,#716c66",#191318,#bfa99a,#4c2927,#916950,#716c66,,,,,,
First Tang,220,10,阿弥陀净土变,经变画 Buddhist Sutra Art,Buddhism,,3,"../public/1ct/10 阿弥陀净土变.jpeg',","#8b8074,#976651,#c9bbad,#573f3e,#bd967d",#8b8074,#976651,#c9bbad,#573f3e,#bd967d,,,,,,
First Tang,220,11,观音,佛像画Buddhist painting,Buddhism,,8,"../public/1ct/11 观音.jpeg',","#a59486,#453231,#d4cbc7,#906453,#71716b",#a59486,#453231,#d4cbc7,#906453,#71716b,,,,,,
First Tang,220,12,菩萨,佛像画Buddhist painting,Buddhism,,9,"../public/1ct/12 菩萨.jpeg',","#a47463,#4a2c29,#8f8f88,#c8ada1,#605a63",#a47463,#4a2c29,#8f8f88,#c8ada1,#605a63,,,,,,
First Tang,220,13,菩萨一组,佛像画Buddhist painting,Buddhism ,,10,"../public/1ct/13 菩萨一组.jpeg',","#997362,#2e272e,#b4a49c,#68453d,#757976",#997362,#2e272e,#b4a49c,#68453d,#757976,,,,,,
First Tang,220,14,恣蓝菩萨,佛像画Buddhist painting,Buddhism,,11,"../public/1ct/14 姿lan菩萨.jpeg',","#828980,#312223,#ae836e,#beb2a7,#6f5049",#828980,#312223,#ae836e,#beb2a7,#6f5049,,,,,,
First Tang,220,15,持莲花菩萨,佛像画Buddhist painting,Buddhism,,12,"../public/1ct/15 持莲华菩萨.jpeg',","#a18571,#bcaa9e,#412121,#885743,#dbd1ce",#a18571,#bcaa9e,#412121,#885743,#dbd1ce,,,,,,
First Tang,220,16,持莲花菩萨,佛像画Buddhist painting,Buddhism,,13,"../public/1ct/16 持莲华菩萨.jpeg',","#b59887,#9c705c,#cbbab5,#64322d,#737368",#b59887,#9c705c,#cbbab5,#64322d,#737368,,,,,,
First Tang,220,17,东方药师经变,经变画 Buddhist Sutra Art,Buddhism,,4,"../public/1ct/17 东方药师经变.jpeg',","#967c6d,#684d46,#bba694,#8e5b44,#3a2425",#967c6d,#684d46,#bba694,#8e5b44,#3a2425,,,,,,
First Tang,220,18,各国王子,故事画 Story painting,Politics/History,,1,"../public/1ct/18 各国王子.jpeg',","#ad9283,#311c1c,#a1765c,#c7b6b2,#714e44",#ad9283,#311c1c,#a1765c,#c7b6b2,#714e44,,,,,,
First Tang,220,19,乐队,经变画 Buddhist Sutra Art,Music,,5,"../public/1ct/19 乐队.jpeg',","#b3988a,#926d5d,#382b30,#d5c3ba,#6a3a31",#b3988a,#926d5d,#382b30,#d5c3ba,#6a3a31,,,,,,
First Tang,220,20,乐队,经变画 Buddhist Sutra Art,Music,,6,"../public/1ct/20 乐队.jpeg',","#906757,#281d23,#d2bdb3,#613d38,#af9181",#906757,#281d23,#d2bdb3,#613d38,#af9181,,,,,,
First Tang,220,21,帝王出行图,故事画 Story painting,Politics/History,,2,"../public/1ct/21 帝王出行图.jpeg',","#ae8469,#c9b2a6,#4f2e2d,#9b583f,#84776e",#ae8469,#c9b2a6,#4f2e2d,#9b583f,#84776e,,,,,,
First Tang,220,22,菩萨,佛像画Buddhist painting,Buddhism,,14,"../public/1ct/22 菩萨.jpeg',","#4d2424,#666861,#864431,#21171c,#b69983",#4d2424,#666861,#864431,#21171c,#b69983,,,,,,
First Tang,220,23,十二药叉,佛像画Buddhist painting,Buddhism,,15,"../public/1ct/23 十二药叉.jpeg',","#b2987e,#5f3e39,#d1bfac,#2b1617,#8e6c5a",#b2987e,#5f3e39,#d1bfac,#2b1617,#8e6c5a,,,,,,
First Tang,220,24,说法图,经变画 Buddhist Sutra Art,Buddhism,,7,"../public/1ct/24 说法图-.jpeg',","#a8785a,#b7957e,#4f251d,#7b5d49,#d3b8a6",#a8785a,#b7957e,#4f251d,#7b5d49,#d3b8a6,,,,,,
First Tang,220,25,天女燃灯,经变画 Buddhist Sutra Art,Buddhism,,8,"../public/1ct/25 天女燃灯.jpeg',","#a69482,#5a3b34,#cfc0b7,#2b2023,#816a5a",#a69482,#5a3b34,#cfc0b7,#2b2023,#816a5a,,,,,,
First Tang,220,26,外国君长,故事画 Story painting,Politics/History,,3,"../public/1ct/26 外国君长.jpeg',","#ccbbb7,#ac826a,#3e2122,#83776c,#85543e",#ccbbb7,#ac826a,#3e2122,#83776c,#85543e,,,,,,
First Tang,220,27,维摩诘,佛像画Buddhist painting,Buddhism,,16,"../public/1ct/27 维摩诘-.jpeg',","#9c7e69,#664839,#c0b1a9,#3a1f1b,#7f817f",#9c7e69,#664839,#c0b1a9,#3a1f1b,#7f817f,,,,,,
First Tang,220,28,文殊及帝王,故事画 Story painting,Buddhism,,4,"../public/1ct/28 文殊及帝王-.jpeg',","#a7876d,#c7b9b0,#89543c,#49342f,#748173",#a7876d,#c7b9b0,#89543c,#49342f,#748173,,,,,,
